tconst,averageRating,numVotes,titleType,primaryTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0318550,7.0,143,short,Peege,0.0,1973.0,,28.0,"Drama,Short"
tt1102358,8.3,7,short,The Visitor,0.0,2007.0,,10.0,Short
tt13051108,5.5,189,movie,The Fallen Bridge,0.0,2022.0,,120.0,"Crime,Drama"
tt1417060,8.2,39,movie,A Pearl in the Forest,0.0,2008.0,,90.0,"Drama,History,Romance"
tt1623737,7.6,10,tvMovie,The Cast of the Fresh Prince of Bel-Air: Where Are They Now,0.0,2010.0,,60.0,Documentary
tt1416677,8.1,18,short,Cold Calls,0.0,2009.0,,8.0,"Comedy,Short"
tt3429798,8.5,8,movie,Jungle Ki Hasina,0.0,1990.0,,,"Action,Adventure"
tt8146888,8.8,7,short,The Last Letter,0.0,2018.0,,12.0,"Drama,Short"
tt6668932,6.3,18,short,About the Goat,0.0,1960.0,,15.0,"Animation,Short"
tt13514520,6.3,6,movie,Gila,0.0,2017.0,,,Documentary
tt11892646,7.2,246,tvMovie,Women of Troy,0.0,2020.0,,59.0,Documentary
tt6825522,6.7,51,short,Cao Chong cheng xiang,0.0,1982.0,,16.0,"Animation,Short"
tt26245512,6.2,11,movie,Iron Kung Fu Fist,0.0,2022.0,,90.0,Action
tt0356442,6.9,40,short,The Boy Scout,0.0,2002.0,,14.0,"Adventure,Comedy,Family"
tt9265008,6.8,11,movie,War Travelers,0.0,2018.0,,108.0,
tt6164426,7.3,30,tvMovie,Stranitsy zhurnala Pechorina,0.0,1975.0,,93.0,Drama
tt0347817,5.4,326,movie,A Problem with Fear,0.0,2003.0,,94.0,"Comedy,Crime,Drama"
tt0251740,7.0,25,movie,Spele,0.0,1981.0,,73.0,Romance
tt1559327,8.1,17,movie,Zahara,0.0,2009.0,,63.0,Documentary
tt0071446,5.8,41,movie,Da tie nu,0.0,1974.0,,85.0,"Action,Drama"
tt9357816,7.4,9,short,Bewildered,0.0,2018.0,,31.0,"Drama,Music,Short"
tt0056902,5.2,32,movie,Il capitano di ferro,0.0,1962.0,,,"Adventure,Drama"
tt5165344,7.0,28488,movie,Rustom,0.0,2016.0,,148.0,"Crime,Drama,Thriller"
tt12788656,8.3,16,movie,Negative Exposure,0.0,2020.0,,112.0,"Drama,Family,Thriller"
tt0297221,6.2,375,tvMovie,Just a Dream,0.0,2002.0,,96.0,Drama
tt1603904,7.3,69,tvMovie,Pappas lilla tjockis,0.0,2005.0,,59.0,Drama
tt0125738,6.8,101,short,Esta Não É a Sua Vida,0.0,1991.0,,16.0,Short
