tconst,averageRating,numVotes
tt0000001,5.7,2051
tt0000002,5.7,275
tt0000003,6.5,2007
tt0000004,5.4,179
tt0000005,6.2,2770
tt0000006,5.1,185
tt0000007,5.4,857
tt0000008,5.4,2193
tt0000009,5.4,211
tt0000010,6.8,7552
tt0000011,5.2,387
tt0000012,7.4,12869
tt0000013,5.7,1963
tt0000014,7.1,5841
tt0000015,6.1,1170
tt0000016,5.9,1575
tt0000017,4.6,345
tt0000018,5.2,625
tt0000019,5.1,32
tt0000020,4.7,378
tt0000022,5.1,1144
tt0000023,5.7,1506
tt0000024,3.8,130
tt0000025,3.9,43
tt0000026,5.6,1607
tt0000027,5.6,1208
tt0000028,5.1,1136
tt0000029,5.9,3512
tt0000030,5.2,892
tt0000031,5.5,1049
tt0000032,5.0,435
tt0000033,5.5,1078
tt0000034,4.9,230
tt0000035,5.6,84
tt0000036,4.4,623
tt0000037,4.5,73
tt0000038,4.2,213
tt0000039,3.7,33
tt0000040,4.1,72
tt0000041,6.7,1994
tt0000042,4.2,39
tt0000043,3.4,33
tt0000044,4.0,50
tt0000045,4.0,34
tt0000046,4.1,36
tt0000047,3.6,37
tt0000048,4.7,216
tt0000049,5.0,52
tt0000050,4.1,35
tt0000051,3.6,36
tt0000052,4.2,113
tt0000053,3.3,19
tt0000054,4.9,35
tt0000055,3.6,31
tt0000056,3.0,23
tt0000057,4.3,36
tt0000058,4.2,34
tt0000059,3.3,28
tt0000060,7.2,91
tt0000061,4.3,32
tt0000062,6.2,207
tt0000063,3.3,29
tt0000064,3.0,30
tt0000065,3.2,30
tt0000066,3.2,30
tt0000067,5.3,79
tt0000068,3.8,32
tt0000069,4.9,504
tt0000070,6.4,2769
tt0000071,3.3,30
tt0000072,3.5,28
tt0000073,3.5,31
tt0000074,4.6,32
tt0000075,6.3,2054
tt0000076,4.5,554
tt0000077,4.5,36
tt0000078,3.6,96
tt0000079,4.5,37
tt0000080,4.0,32
tt0000081,4.1,33
tt0000082,4.8,50
tt0000083,4.6,33
tt0000084,4.3,31
tt0000085,4.7,34
tt0000086,4.1,34
tt0000087,4.7,37
tt0000088,4.2,33
tt0000089,6.2,1047
tt0000090,3.9,32
tt0000091,6.7,3980
tt0000092,4.5,30
tt0000093,4.7,95
tt0000094,4.3,43
tt0000095,4.8,35
tt0000096,4.1,31
tt0000097,4.9,34
tt0000098,5.2,37
tt0000099,4.6,33
tt0000100,4.8,59
tt0000101,4.5,29
