adult,backdrop_path,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,production_companies_name,production_companies_country
False,/dvQj1GBZAZirz1skEEZyWH2ZqQP.jpg,0,['Comedy'],,3924,tt0029927,en,Blondie,Blondie and Dagwood are about to celebrate their fifth wedding anniversary but this happy occasion is marred when the bumbling Dagwood gets himself involved in a scheme that is promising financial ruin for the Bumstead family.,2.852,/zBiHKhXklvTFwj4M1uEUcQGAVJ.jpg,['US'],1938-11-30,0,70,['en'],Released,The favorite comic strip of millions at last on the screen!,Blondie,False,7.214,7,['Columbia Pictures'],['US']
False,,0,['Adventure'],,6124,tt0011436,de,Der Mann ohne Namen,,1.091,/6xUbUCvndklbGVYiljHr34NTxSl.jpg,['DE'],1921-01-01,0,420,[],Released,,"Peter Voss, Thief of Millions",False,0.0,0,[],[]
False,/uJlc4aNPF3Y8yAqahJTKBwgwPVW.jpg,0,"['Drama', 'Romance']",,8773,tt0055747,fr,L'Amour à vingt ans,Love at Twenty unites five directors from five different countries to present their different perspectives on what love really is at the age of 20. The episodes are united with the score of Georges Delerue and still photos of Henri Cartier-Bresson.,3.77,/aup2QCYCsyEeQfpboXy0f4uj8aE.jpg,"['DE', 'FR', 'IT', 'JP', 'PL']",1962-06-22,0,110,"['it', 'ja', 'pl', 'fr', 'de']",Released,The Intimate Secrets of Young Lovers,Love at Twenty,False,6.7,41,"['Ulysse Productions', 'Unitec Films', 'Cinesecolo', 'TOHO', 'Beta Film', 'Film Polski', 'Zespół Filmowy ""Kamera""']","['', 'NZ', 'IT', 'JP', 'DE', 'PL', '']"
False,/hQ4pYsIbP22TMXOUdSfC2mjWrO0.jpg,0,"['Drama', 'Comedy', 'Crime']",,2,tt0094675,fi,Ariel,"Taisto Kasurinen is a Finnish coal miner whose father has just committed suicide and who is framed for a crime he did not commit. In jail, he starts to dream about leaving the country and starting a new life. He escapes from prison but things don't go as planned...",9.214,/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,['FI'],1988-10-21,0,73,['fi'],Released,,Ariel,False,7.046,248,['Villealfa Filmproductions'],['FI']
False,/l94l89eMmFKh7na2a1u5q67VgNx.jpg,0,"['Drama', 'Comedy', 'Romance']",,3,tt0092149,fi,Varjoja paratiisissa,"An episode in the life of Nikander, a garbage man, involving the death of a co-worker, an affair and much more.",6.282,/nj01hspawPof0mJmlgfjuLyJuRN.jpg,['FI'],1986-10-17,0,76,['en'],Released,,Shadows in Paradise,False,7.182,269,['Villealfa Filmproductions'],['FI']
False,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg,4000000,"['Crime', 'Comedy']",https://www.miramax.com/movie/four-rooms/,5,tt0113101,en,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,18.734,/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,['US'],1995-12-09,4257354,98,['en'],Released,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,False,5.758,2357,"['Miramax', 'A Band Apart']","['US', 'US']"
False,/bGMqHn0H2UY6SPZ5Vch4YJM2jDO.jpg,21000000,"['Action', 'Crime', 'Thriller']",,6,tt0107286,en,Judgment Night,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama.",10.797,/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,['US'],1993-10-15,12136938,109,['en'],Released,Don't move. Don't whisper. Don't even breathe.,Judgment Night,False,6.6,284,"['Largo Entertainment', 'JVC']","['US', 'JP']"
False,,42000,['Documentary'],http://lifeinloops.com,8,tt0825671,en,Life in Loops (A Megacities RMX),"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",2.281,/x7Sz339F2oC8mBf0DHCQpKizXaL.jpg,['AT'],2006-01-01,0,80,"['en', 'hi', 'ja', 'ru', 'es']",Released,A Megacities remix.,Life in Loops (A Megacities RMX),False,7.708,24,['inLoops'],['']
False,,0,['Drama'],,9,tt0425473,de,Sonntag im August,,1.93,,['DE'],2004-09-02,0,15,['de'],Released,,Sunday in August,False,7.738,21,[],[]
False,/2w4xG178RpB4MDAIfTkqAuSJzec.jpg,11000000,"['Adventure', 'Action', 'Science Fiction']",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,90.988,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,['US'],1977-05-25,775398007,121,['en'],Released,"A long time ago in a galaxy far, far away...",Star Wars,False,8.208,18582,"['Lucasfilm Ltd.', '20th Century Fox']","['US', 'US']"
